#This file was generated on Tue Oct 26 13:24:22 2021
#Using the somd command, of the molecular library Sire version <2021.1.0> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 250000 moves, 1 cycles and 1000 ps of simulation time 
#Generating lambda is		 0.00000
#Alchemical array is		 (0.0, 0.071, 0.143, 0.214, 0.286, 0.357, 0.429, 0.5, 0.571, 0.643, 0.714, 0.786, 0.857, 0.929, 1.0)
#Generating temperature is 	25 C
#Energy was saved every 100 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
       0           -1.87112517e+05            3.36446088e+00            9.96641193e-01            1.00337013e+00     1.484558893092407e+04     1.484559378704466e+04     1.484558795209303e+04     1.484559015085272e+04     1.484558891044180e+04     1.484558869564513e+04     1.484558487237615e+04     1.484558893092407e+04     1.484558893092407e+04     1.484558885612844e+04     1.484558883640544e+04     1.484558886963830e+04     1.484558778626701e+04     1.484558892865564e+04     1.484558893092407e+04
     100           -1.81132943e+05            3.27307104e+00            9.96732280e-01            1.00327843e+00     1.426487976605494e+04     1.426488445763848e+04     1.426487878403785e+04     1.426488095000183e+04     1.426487971389851e+04     1.426487952898470e+04     1.426487592942250e+04     1.426487976605494e+04     1.426487976605494e+04     1.426487969262382e+04     1.426487965475305e+04     1.426487972253185e+04     1.426487859972425e+04     1.426487975371949e+04     1.426487976605494e+04
     200           -1.78460007e+05            3.36397121e+00            9.96641681e-01            1.00336964e+00     1.350112890340930e+04     1.350113361388317e+04     1.350112791753893e+04     1.350113012044217e+04     1.350112888630680e+04     1.350112867316162e+04     1.350112487391433e+04     1.350112890340930e+04     1.350112890340930e+04     1.350112883408975e+04     1.350112880854039e+04     1.350112885318388e+04     1.350112774173268e+04     1.350112889041494e+04     1.350112890340930e+04
     300           -1.76787690e+05            3.25815216e+00            9.96747150e-01            1.00326347e+00     1.305142479060196e+04     1.305142945895558e+04     1.305142385713752e+04     1.305142603993250e+04     1.305142475167020e+04     1.305142457608523e+04     1.305142086631889e+04     1.305142479060196e+04     1.305142479060196e+04     1.305142471816868e+04     1.305142468004315e+04     1.305142473021334e+04     1.305142365972151e+04     1.305142479331295e+04     1.305142479060196e+04
     400           -1.76357089e+05            3.29951793e+00            9.96705919e-01            1.00330497e+00     1.284621206059044e+04     1.284621668242529e+04     1.284621105619980e+04     1.284621324730217e+04     1.284621200933976e+04     1.284621181223143e+04     1.284620789295386e+04     1.284621206059044e+04     1.284621206059044e+04     1.284621198485708e+04     1.284621193971965e+04     1.284621200458538e+04     1.284621090929867e+04     1.284621207370507e+04     1.284621206059044e+04
     500           -1.75684104e+05            3.33054498e+00            9.96674995e-01            1.00333610e+00     1.243959934726352e+04     1.243960398717552e+04     1.243959839494520e+04     1.243960055703767e+04     1.243959930116525e+04     1.243959912923632e+04     1.243959541942867e+04     1.243959934726352e+04     1.243959934726352e+04     1.243959927609255e+04     1.243959922569375e+04     1.243959928995105e+04     1.243959824117343e+04     1.243959934742131e+04     1.243959934726352e+04
     600           -1.75521726e+05            3.38840133e+00            9.96617333e-01            1.00339415e+00     1.236597480411726e+04     1.236597934051556e+04     1.236597390725063e+04     1.236597605539173e+04     1.236597478181059e+04     1.236597457683303e+04     1.236597074831066e+04     1.236597480411726e+04     1.236597480411726e+04     1.236597473876500e+04     1.236597469666184e+04     1.236597474553646e+04     1.236597372903373e+04     1.236597482447992e+04     1.236597480411726e+04
     700           -1.75158006e+05            3.30642136e+00            9.96699039e-01            1.00331189e+00     1.201510654178005e+04     1.201511131500142e+04     1.201510554429630e+04     1.201510769457193e+04     1.201510649665088e+04     1.201510629254943e+04     1.201510255310978e+04     1.201510654178005e+04     1.201510654178005e+04     1.201510646756147e+04     1.201510642185957e+04     1.201510646542604e+04     1.201510538383328e+04     1.201510651678756e+04     1.201510654178005e+04
     800           -1.75249755e+05            3.25966248e+00            9.96745644e-01            1.00326498e+00     1.196870516436635e+04     1.196870982904444e+04     1.196870424195738e+04     1.196870640339541e+04     1.196870513428227e+04     1.196870490838532e+04     1.196870125860475e+04     1.196870516436635e+04     1.196870516436635e+04     1.196870509442766e+04     1.196870504553074e+04     1.196870511173951e+04     1.196870404820398e+04     1.196870515629500e+04     1.196870516436635e+04
     900           -1.75377336e+05            3.19183992e+00            9.96813249e-01            1.00319694e+00     1.173790772467847e+04     1.173791238764680e+04     1.173790680185474e+04     1.173790894290368e+04     1.173790768428677e+04     1.173790748534808e+04     1.173790368199035e+04     1.173790772467847e+04     1.173790772467847e+04     1.173790765896555e+04     1.173790761523170e+04     1.173790767073822e+04     1.173790659709734e+04     1.173790773462077e+04     1.173790772467847e+04
    1000           -1.75208687e+05            3.29837526e+00            9.96707058e-01            1.00330382e+00     1.157775723119358e+04     1.157776206813092e+04     1.157775628657261e+04     1.157775843765668e+04     1.157775718363707e+04     1.157775702156985e+04     1.157775312959882e+04     1.157775723119358e+04     1.157775723119358e+04     1.157775716293197e+04     1.157775711518461e+04     1.157775717333111e+04     1.157775610951004e+04     1.157775722876887e+04     1.157775723119358e+04
    1100           -1.75292703e+05            3.31114917e+00            9.96694327e-01            1.00331664e+00     1.159091093001574e+04     1.159091561128832e+04     1.159090997668137e+04     1.159091211015737e+04     1.159091086476938e+04     1.159091069755599e+04     1.159090686767106e+04     1.159091093001574e+04     1.159091093001574e+04     1.159091084916096e+04     1.159091081675171e+04     1.159091085581370e+04     1.159090978267775e+04     1.159091094908940e+04     1.159091093001574e+04
    1200           -1.75230819e+05            3.30942028e+00            9.96696050e-01            1.00331490e+00     1.149392050302407e+04     1.149392534153312e+04     1.149391957727389e+04     1.149392166054204e+04     1.149392045933634e+04     1.149392027252993e+04     1.149391682929579e+04     1.149392050302407e+04     1.149392050302407e+04     1.149392042709235e+04     1.149392040951084e+04     1.149392043931584e+04     1.149391940471530e+04     1.149392053555067e+04     1.149392050302407e+04
    1300           -1.75179324e+05            3.30682992e+00            9.96698632e-01            1.00331230e+00     1.145147055025918e+04     1.145147520756568e+04     1.145146954872840e+04     1.145147171263469e+04     1.145147051521145e+04     1.145147033268882e+04     1.145146641130415e+04     1.145147055025918e+04     1.145147055025918e+04     1.145147047687614e+04     1.145147044287321e+04     1.145147049538420e+04     1.145146939941223e+04     1.145147056339372e+04     1.145147055025918e+04
    1400           -1.75149311e+05            3.26778387e+00            9.96737550e-01            1.00327313e+00     1.132789959349775e+04     1.132790424307996e+04     1.132789863762868e+04     1.132790078825650e+04     1.132789954591835e+04     1.132789937136500e+04     1.132789555499195e+04     1.132789959349775e+04     1.132789959349775e+04     1.132789952446673e+04     1.132789947422686e+04     1.132789952618589e+04     1.132789849484334e+04     1.132789961018596e+04     1.132789959349775e+04
